user_id,round_number,num_tests,time_per_test_seconds,total_test_time_seconds,total_round_time_seconds,user_object_identification,ground_truth_objects,object_identification_correct,rule_inference_text,rule_choice,ground_truth_rule,rule_choice_correct
63f8083b81d600b33e288f21,3,11,"[5.741, 3.094, 3.978, 6.664, 12.964, 3.933, 11.631, 11.435, 31.078, 22.449, 21.515]",134.482,241.159,"[0, 2]","[0, 2]",True,Object one and three both have to be on the platform in order for the machine to turn on.,conjunctive,conjunctive,True
64136981aa9af9154f69c8d7,1,0,[],,100.15,[],"[0, 3]",False,"None of the objects are Nexioms, none of them turned on the machine",conjunctive,conjunctive,True
64136981aa9af9154f69c8d7,2,0,[],,83.624,"[1, 3]","[1, 3]",True,The objects turn on the Nexiom machine when they are placed on it - either on their own or with another Nexiom,disjunctive,disjunctive,True
64136981aa9af9154f69c8d7,3,0,[],,64.044,"[2, 3]","[2, 3]",True,The nexioms turn on the machine when they are placed on it individually or as a pair.,disjunctive,disjunctive,True
6448e3fb68d60f161a38f5c9,1,0,[],,141.234,"[0, 2]","[0, 2]",True,The objects 1 and 3 are only nexioms in combination with each other.,conjunctive,conjunctive,True
6448e3fb68d60f161a38f5c9,2,0,[],,121.678,"[0, 1]","[0, 1]",True,Objects 1 and 2 have to be used in combination.,conjunctive,conjunctive,True
6448e3fb68d60f161a38f5c9,3,0,[],,74.179,"[2, 3]","[2, 3]",True,Objects 3 and 4 are both nexioms and only need to be present to activate the machine.,disjunctive,disjunctive,True
663e3cebf22215cffd238d3e,1,8,"[4.263, 3.651, 3.079, 2.327, 5.058, 4.254, 6.758, 3.938]",33.328,107.821,"[0, 3]","[0, 3]",True,"The rule is that either Object 1 or Object 4 has to be present on the machine. They are not tied to each other, so just one of them has to present on the machine to turn it on. Object 2 and 3 are not Nexiom's, but they will not disrupt the machine from turning on when Object 1 or 4 are present.",disjunctive,disjunctive,True
663e3cebf22215cffd238d3e,2,9,"[2.373, 5.154, 2.433, 2.514, 4.293, 5.732, 4.285, 5.309, 4.839]",36.932,87.409,"[1, 2]","[1, 2]",True,"The rule is that Object 2 and Object 3 are Nexioms, and at least one of them has to be present to turn on the machine.",disjunctive,disjunctive,True
663e3cebf22215cffd238d3e,3,13,"[2.406, 3.364, 3.46, 2.592, 3.278, 5.318, 4.076, 4.463, 4.804, 4.402, 4.394, 7.113, 3.118]",52.788,110.703,"[0, 2]","[0, 2]",True,"The rule is that Object 1 and Object 3 have to be present on the machine together to turn on the machine. Other objects can be present and still turn the machine on, as long as Object 1 and 3 are included on the machine. Object 1 and 3 are tied to each other.",conjunctive,conjunctive,True
668ef254bc2ae7eae4f06805,1,2,"[9.437, 9.525]",18.962,102.431,[2],"[2, 3]",False,the machine turns on iff object 3 is active,disjunctive,disjunctive,True
668ef254bc2ae7eae4f06805,2,8,"[9.506, 6.106, 6.869, 4.03, 6.535, 13.73, 4.732, 8.697]",60.205,158.391,"[0, 1, 2, 3]","[0, 1]",False,"the machine turns on if 1 is active, or any combo of 2, 3, and 4 are active",disjunctive,disjunctive,True
668ef254bc2ae7eae4f06805,3,10,"[10.426, 4.575, 3.529, 2.915, 7.444, 9.218, 3.591, 13.146, 10.645, 7.722]",73.211,120.184,"[0, 3]","[0, 3]",True,the machine turns on iff 1 and 4 are active,conjunctive,conjunctive,True
669a80310e64395f4edd70b6,1,0,[],,236.787,"[1, 2]","[1, 2]",True,I texted each object and checked if it is Nexiom,disjunctive,disjunctive,True
669a80310e64395f4edd70b6,2,0,[],,95.987,"[0, 1]","[0, 1]",True,"If the correct object (Nexiom) is placed on the machine, it turns on.",disjunctive,disjunctive,True
669a80310e64395f4edd70b6,3,0,[],,73.295,[],"[1, 3]",False,"Only when all objected on placed on the machine, the machine turns on",conjunctive,conjunctive,True
66aa5c3f0d9d6bcf931c3533,1,8,"[8.121, 7.268, 4.774, 5.027, 7.31, 12.011, 6.753, 6.236]",57.5,206.584,"[0, 1]","[0, 1]",True,"Object 1 and 2 are both nexiums, they can activate the device on their own, or they can ""boost"" the non nexiums to turn on the device.",disjunctive,disjunctive,True
66aa5c3f0d9d6bcf931c3533,2,9,"[4.571, 5.32, 4.061, 3.599, 5.79, 4.461, 3.763, 11.416, 8.639]",51.62,129.507,"[0, 3]","[0, 3]",True,Object 1 and 4 are nexiums and they are able to turn on the device even when paired with objects 2 and 3 which are not nexiums,disjunctive,disjunctive,True
66aa5c3f0d9d6bcf931c3533,3,16,"[4.096, 4.355, 4.349, 4.291, 7.501, 4.481, 4.218, 7.815, 5.747, 7.062, 16.199, 5.84, 5.963, 7.529, 13.231, 9.11]",111.787,201.29,[3],"[2, 3]",False,"object 4 is not a nexium on its own, but it acts as a catalyst. when object 4 is paired with any other object it will turn on the device.",conjunctive,conjunctive,True
6722ea20fb84b196f0a649b6,1,0,[],,121.286,"[2, 3]","[2, 3]",True,The machine turns on any time a nexiom is present,disjunctive,disjunctive,True
6722ea20fb84b196f0a649b6,2,0,[],,111.375,"[0, 1, 2]","[1, 2]",False,When any of the nexioms are present,disjunctive,disjunctive,True
6722ea20fb84b196f0a649b6,3,0,[],,92.354,"[1, 3]","[1, 3]",True,When all nexioms are present,conjunctive,conjunctive,True
67d43f5c7253c147df75e9e5,1,0,[],,535.831,"[1, 3]","[1, 3]",True,"When either of the objects is a nexiom, the Nexiom machine will turn ON. If all the objects are non nexiom, the machine will not turn on",disjunctive,disjunctive,True
67d43f5c7253c147df75e9e5,2,0,[],,387.394,"[2, 3]","[2, 3]",True,Presence of ANY nexiom object turned the machine ON,disjunctive,disjunctive,True
67d43f5c7253c147df75e9e5,3,0,[],,237.547,[0],"[0, 1]",False,Presence of Any one nexiom object turns the machine ON,disjunctive,conjunctive,False
