rank,user_id,num_tests,action_history_length,time_per_test_seconds,total_test_time_seconds,exploration_time_seconds,total_round_time_seconds,user_object_identification,ground_truth_objects,object_identification_correct,rule_inference_text,rule_choice,ground_truth_rule,rule_choice_correct
21,61522983a596d0aa25117787,5,13,"[11.129, 5.487, 4.147, 6.401, 8.182]",35.346,35.345,136.518,"[2, 3]","[2, 3]",True,"I am not sure there is a specific rule, I just know that both objects which are Nexioms need to be placed on the machine",disjunctive,disjunctive,True
22,60fcc292d13ae9614d4a77a7,5,15,"[5.962, 5.857, 4.43, 4.435, 9.973]",30.657,30.657,84.753,"[1, 3]","[1, 3]",True,"When the machine had a Nexiom on it, it turned on.",disjunctive,disjunctive,True
23,6452945d35a44481f5757a6c,6,17,"[8.187, 4.679, 7.921, 9.782, 10.027, 14.881]",55.477,55.477,148.052,"[0, 2]","[0, 2]",True,It's turned on by odd numbers,disjunctive,disjunctive,True
24,66444fab51653be6d035845e,6,16,"[15.706, 6.226, 3.113, 4.83, 4.546, 7.927]",42.348,42.347,142.582,"[2, 3]","[2, 3]",True,Using 2 objects.,conjunctive,conjunctive,True
25,66ae0709d8dd8981a2d6ee04,6,20,"[66.906, 3.558, 3.437, 1.084, 6.913, 18.74]",100.638,100.637,190.871,"[1, 3]","[1, 3]",True,Even-numbered objects power the Nexiom machine (?),disjunctive,disjunctive,True
26,66ee186efc9a208ef9446a30,6,20,"[6.395, 6.614, 4.681, 3.873, 3.012, 4.559]",29.134,29.132,211.613,"[0, 1]","[0, 1]",True,The machine turns on if the object placed on it is numbered two or less.,disjunctive,disjunctive,True
27,67c0af3cdbc67c93008f0616,6,22,"[8.59, 8.716, 36.951, 3.201, 2.821, 4.294]",64.573,64.572,173.361,"[1, 3]","[1, 3]",True,"Seems like if at least one nexiom is on the machine, the machine turns on. (Didn't check for multiple non-nexioms or multiple nexioms oops :S)",disjunctive,disjunctive,True
28,610329975d39376c37360d3c,6,22,"[3.697, 4.74, 3.589, 3.187, 6.262, 5.352]",26.827,26.828,68.577,"[1, 3]","[1, 3]",True,I think anything with Object 2 or 4 will turn it on,disjunctive,disjunctive,True
29,5d439cb393066e001a5a4d26,6,19,"[92.972, 10.595, 6.42, 8.043, 22.131, 13.659]",153.82,153.819,234.11,"[2, 3]","[2, 3]",True,The nexiom machine switches on whenever a Nexiom is placed on the platform.,disjunctive,disjunctive,True
30,609916ce82bc0800c9196cde,6,23,"[10.879, 10.429, 8.584, 6.453, 12.929, 5.517]",54.791,54.791,116.086,"[0, 2]","[0, 2]",True,"If one or three are on the machine, they turn on. it does not have to be both of them.",disjunctive,disjunctive,True
31,6234e9c483c8aa1f1c5f046a,6,16,"[8.619, 4.15, 13.598, 3.928, 3.864, 6.919]",41.078,41.078,139.587,"[0, 3]","[0, 3]",True,Objects 1 and 4 turn the object on,disjunctive,disjunctive,True
32,60ff33eea57872b7188f12e2,6,20,"[5.284, 8.221, 3.38, 3.819, 4.657, 10.181]",35.542,35.543,91.329,"[0, 2]","[0, 2]",True,The odd numbers turn on the machine and the even numbers don't.,disjunctive,disjunctive,True
33,60fd05fdd8f4081c41972a1b,6,18,"[29.023, 9.494, 4.515, 4.091, 6.907, 4.471]",58.501,58.501,205.271,"[0, 3]","[0, 3]",True,The machine turns on if 1 and/or 4 are options,disjunctive,disjunctive,True
34,665a8db299aa3f8fb8ff8c4d,7,25,"[8.037, 5.144, 3.946, 3.74, 3.618, 3.097, 6.107]",33.689,33.689,130.131,"[2, 3]","[2, 3]",True,"If either object 3 or 4 is on the platform, the machine will turn on.  Objects 1 and 2 do not have an effect on the machine.",disjunctive,disjunctive,True
35,628eab48a8c8dc1ecec338dd,7,18,"[8.402, 13.765, 5.854, 9.787, 12.391, 3.524, 7.226]",60.949,60.949,129.408,"[0, 1]","[0, 1]",True,"When either object 1 or object 2 is added, the machine turns on",disjunctive,disjunctive,True
36,6684bbcfad6facc374fd6523,7,21,"[6.173, 5.37, 6.407, 3.827, 4.947, 21.463, 9.743]",57.93,57.93,176.336,"[0, 2]","[0, 2]",True,Object 1 and/or object 3 are Nexioms and can be placed separately or together to turn the machine on,disjunctive,disjunctive,True
37,6307bd3bb93e804d22332b3e,7,19,"[4.704, 3.176, 1.103, 4.263, 3.668, 2.777, 7.326]",27.017,27.017,344.895,"[1, 3]","[1, 3]",True,2 and 4 need to be active at the same time,conjunctive,conjunctive,True
38,63b6ef9027eb90f292852ee4,7,23,"[8.119, 6.29, 6.793, 3.879, 6.373, 29.677, 4.928]",66.059,66.059,124.292,"[0, 2]","[0, 2]",True,Object 1 or Object 3 will turn it on.,disjunctive,disjunctive,True
39,65da5ea53cf757c346ee5b18,7,29,"[8.545, 9.559, 12.282, 16.118, 8.582, 12.982, 14.544]",82.612,82.613,169.13,"[1, 2]","[1, 2]",True,Machine will turn on in Objects 2 or 3 are present,disjunctive,disjunctive,True
40,56e32190e414dc000c8b40ae,7,23,"[31.399, 12.035, 11.065, 6.998, 8.383, 7.085, 7.99]",84.955,84.955,181.033,"[1, 2]","[1, 2]",True,If at least one Nexiom is selected the machine will turn on.,disjunctive,disjunctive,True
41,66311cdfdc6a541751ee782a,8,30,"[14.183, 8.632, 8.018, 9.726, 4.733, 6.618, 16.658, 9.529]",78.097,78.097,150.663,"[0, 1]","[0, 1]",True,"If at least one Nexiom is placed on the machine, the machine will turn on.",disjunctive,disjunctive,True
42,6637f53e203e2f5f706d70ec,8,28,"[13.136, 12.057, 3.866, 4.638, 12.38, 5.242, 9.013, 4.877]",65.209,65.209,129.317,"[1, 3]","[1, 3]",True,Both object 2 and object 4 must be on the machine to turn it on.  They cannot by theirsevles.,conjunctive,conjunctive,True
43,5dac4dad5e53cc001499f1f6,8,24,"[10.939, 8.871, 6.353, 4.366, 6.288, 11.516, 11.398, 6.749]",66.48,66.479,175.029,"[2, 3]","[2, 3]",True,Both C and D must be added to turn machine on. Adding A and B is allowed but only with both C and D placed,conjunctive,conjunctive,True
44,66de20cd48ec5f6eed0efb42,8,26,"[8.11, 8.006, 6.002, 14.52, 6.234, 2.242, 21.172, 6.045]",72.331,72.333,142.08,"[0, 1]","[0, 1]",True,Both Object 1 and 2 have to be on to turn the machine on.,conjunctive,conjunctive,True
45,6676ddf4aeae188a30f824f5,8,18,"[4.056, 8.009, 2.913, 2.168, 3.8, 2.541, 4.405, 5.133]",33.025,33.025,106.684,"[1, 3]","[1, 3]",True,I think objects 2 and 4 must be active to turn the machine on.,conjunctive,conjunctive,True
46,60bea43aa26919517334ed4a,8,29,"[6.447, 7.651, 9.772, 3.791, 15.154, 18.28, 8.149, 13.563]",82.807,82.806,225.095,"[1, 3]","[1, 3]",True,2 and 4 are nexioms but both must be on the machine to power it. Excess objects can also be on the platform.,conjunctive,conjunctive,True
47,62a779f845a7840040d41bf8,8,28,"[4.181, 7.471, 3.782, 4.314, 3.443, 8.563, 5.431, 5.567]",42.752,42.752,152.389,"[1, 3]","[1, 3]",True,Object 2 and Object 4 need to both be on the machine in order for the Nexiom machine to turn on.  It does not work with Objects 1 and 3.,conjunctive,conjunctive,True
48,62740f4f578f0114e649016d,8,30,"[8.723, 6.802, 8.375, 7.581, 3.573, 3.701, 4.696, 6.199]",49.65,49.649,113.969,"[1, 2]","[1, 2]",True,"This seems to require both Object 2 and Object 3 at the same time to turn on, indicating that together they are a Nexiom, or perhaps they are each Nexioms.",conjunctive,conjunctive,True
49,5c452213a6c3df0001d2014f,8,26,"[14.393, 3.534, 4.68, 3.809, 5.494, 6.578, 10.469, 0.933]",49.89,49.891,183.712,"[0, 1]","[0, 1]",True,"If object 1 or 2 is on the platform, the Nexiom machine will turn on. Both can be placed at the same time or individually, and the Nexiom machine will turn on.",disjunctive,disjunctive,True
50,6655fd511b6c8d1fd05de12d,9,43,"[23.497, 8.492, 5.354, 10.986, 7.71, 41.46, 32.609, 47.156, 11.398]",188.662,188.661,285.215,"[1, 3]","[1, 3]",True,"When Object 2 and 4 are used together, this causes the object to to turn on the machine.",conjunctive,conjunctive,True
51,60db3cf3270edd7c9c7e0bd3,9,32,"[8.346, 7.236, 18.568, 7.44, 8.204, 22.533, 6.413, 5.711, 5.646]",90.097,90.097,175.42,"[0, 3]","[0, 3]",True,I think object 1 and 4 are both half Nexioms and they both have to be active on the table for the machine to turn on.,conjunctive,conjunctive,True
52,65e8d07f6dee8323f49a2b5b,9,33,"[8.398, 6.419, 3.477, 3.758, 3.534, 17.825, 9.304, 8.303, 10.458]",71.476,71.476,178.966,"[0, 3]","[0, 3]",True,"If object 1 and object 4 are placed on the machine, then it will turn on.",conjunctive,conjunctive,True
53,5c50046b2b89f500015e5f6b,9,25,"[6.795, 10.12, 6.753, 8.131, 65.333, 2.153, 3.233, 2.588, 2.725]",107.831,107.831,150.861,"[0, 1]","[0, 1]",True,Both Object 1 and 2 must be on to turn on this Nexiom machine,conjunctive,conjunctive,True
54,66df530525ff636218e380bf,9,29,"[9.681, 10.149, 12.14, 8.257, 8.573, 5.244, 4.211, 6.984, 6.973]",72.212,72.211,152.249,"[0, 3]","[0, 3]",True,This was the only combination that would turn it on while using minimal pieces.,conjunctive,conjunctive,True
55,610825355ae77bd1867d118e,10,28,"[5.33, 5.352, 3.883, 3.459, 3.635, 4.633, 4.431, 5.511, 3.325, 5.44]",44.999,44.999,166.772,"[1, 2]","[1, 2]",True,"Object 2 and 3 need to be placed on the machine together. If they are placed on the machine separately, then it will not turn on.",conjunctive,conjunctive,True
56,58380cb9f1faf8000129673a,10,37,"[23.539, 7.081, 7.074, 3.548, 11.611, 16.635, 13.23, 4.756, 21.034, 25.756]",134.264,134.264,300.518,"[0, 1]","[0, 1]",True,The machine will turn on if it has at least one Nexiom on the machine.,disjunctive,disjunctive,True
57,5e3f778e91be661ca60e3540,10,28,"[6.29, 23.034, 6.721, 21.446, 8.354, 21.104, 9.059, 5.126, 5.614, 6.775]",113.523,113.523,245.082,"[1, 3]","[1, 3]",True,When Object 2 is paired with Object 4  the machine activates,conjunctive,conjunctive,True
58,66464711c6986686ce7a99ec,11,31,"[22.689, 13.655, 4.008, 5.478, 4.287, 6.386, 6.705, 6.089, 11.464, 15.018, 6.77]",102.549,102.548,162.897,"[1, 3]","[1, 3]",True,Objects 2 and 4 both have to be on the machine,conjunctive,conjunctive,True
59,63fcf26a814570a76bcf2237,11,26,"[8.078, 3.466, 5.604, 3.079, 3.509, 4.018, 4.082, 3.316, 5.665, 10.091, 5.622]",56.53,56.531,162.982,"[1, 3]","[1, 3]",True,After testing the machines all together and independently it appears to me that there are two Nexioms required to turn the machine on.,conjunctive,conjunctive,True
60,6722cf4c8679d8fe777e4364,11,27,"[5.968, 8.074, 10.096, 4.021, 5.581, 3.606, 3.008, 10.216, 4.494, 3.873, 4.285]",63.222,63.221,119.736,"[0, 1]","[0, 1]",True,Objects 1 and 2 must both be on to turn on this Nexiom machine.,conjunctive,conjunctive,True
61,6618650ff8e368f495675c9f,11,36,"[26.188, 9.32, 3.65, 4.01, 5.065, 4.597, 9.721, 3.161, 12.558, 4.48, 8.982]",91.732,91.73,209.146,"[1, 3]","[1, 3]",True,The machine turns on if 2 or 4 are on the machine,disjunctive,disjunctive,True
62,655fd05c12d38751dfa91559,11,39,"[7.193, 3.704, 2.752, 2.85, 2.964, 4.713, 6.984, 4.95, 17.403, 7.877, 7.17]",68.56,68.562,257.405,"[2, 3]","[2, 3]",True,"Nexioms will power the machine. If there are other objects with it, it will still be powered. I have tested at most three other objects sitting with a Nexiom object and the machine will stay powered.",disjunctive,disjunctive,True
63,66e641a57e7f41866f9e705f,12,34,"[9.08, 8.345, 5.572, 4.673, 8.374, 19.153, 4.66, 6.655, 7.502, 5.687, 8.686, 3.177]",91.564,91.563,223.623,"[1, 3]","[1, 3]",True,"To be honest, it seems a little unclear to me. I know that 2 and 4 together turns it on, but separately they don't. I don't understand how that it is the case, but it's what I observed.",conjunctive,conjunctive,True
64,677816a3469477f7f02c31c8,12,39,"[27.68, 3.29, 3.402, 3.395, 5.09, 4.924, 7.833, 7.501, 13.88, 24.659, 6.139, 5.038]",112.831,112.829,188.396,"[2, 3]","[2, 3]",True,The Nexiom machine will only turn on if objects 3 or 4 are placed on the machine.,disjunctive,disjunctive,True
65,63b6ffb02943686f4f354741,12,40,"[8.744, 5.313, 4.935, 3.447, 6.985, 5.043, 4.213, 10.073, 8.618, 7.314, 7.11, 5.538]",77.333,77.332,147.968,"[0, 2]","[0, 2]",True,At least object 1 or 3 needs to be on the platform in order for this machine to turn on.,disjunctive,disjunctive,True
66,611098e0196fa40fa49f3aeb,12,40,"[80.331, 5.247, 3.904, 3.027, 6.78, 5.998, 3.189, 2.167, 2.207, 2.822, 2.664, 3.73]",122.066,122.067,197.037,"[0, 3]","[0, 3]",True,All that matters is that at least one object that can power the machine is placed on the machine.,disjunctive,disjunctive,True
67,663911a7d0a58901bbe17704,12,37,"[10.818, 6.791, 3.833, 3.52, 5.439, 5.95, 6.894, 4.708, 4.561, 4.543, 8.726, 5.706]",71.489,71.488,129.986,"[2, 3]","[2, 3]",True,both 3 and 4 need to be on the others do not matter,conjunctive,conjunctive,True
68,58d834cec207720001e2e750,13,56,"[114.305, 1.77, 3.137, 2.31, 2.47, 3.805, 15.551, 8.851, 6.747, 9.096, 17.195, 3.363, 4.034]",192.634,192.636,277.023,"[0, 2]","[0, 2]",True,"the nexiom machine only switches on when all nexioms are in the machine which is why it only turns on when 1 and 3 are both on the platform, but not when only of them is on",conjunctive,conjunctive,True
69,5c04872c55614800012b7cf0,13,43,"[3.929, 4.167, 5.082, 5.627, 6.897, 4.762, 4.394, 8.677, 5.122, 7.254, 9.503, 17.901, 7.422]",90.737,90.736,225.876,"[1, 3]","[1, 3]",True,"Two and Four are needed to turn on the machine. You can have 1 and 3 on, but they don't matter. It's just two and four that both need to be on.",conjunctive,conjunctive,True
70,6636e5ffb1e341fa2390a2c0,14,48,"[8.422, 5.911, 12.15, 8.167, 3.62, 20.302, 3.625, 3.023, 2.852, 16.546, 6.139, 18.864, 19.192, 3.758]",132.571,132.572,198.754,"[2, 3]","[2, 3]",True,object 3 and 4 must be on the platform together,conjunctive,conjunctive,True
71,661a38cd3b483dbdaafbf325,14,40,"[7.934, 16.06, 8.952, 4.346, 46.223, 30.946, 3.943, 13.318, 16.374, 15.14, 12.27, 5.543, 7.527, 9.271]",197.847,197.847,390.27,"[0, 1]","[0, 1]",True,It only turns on with objects 1 and 2 used together.,conjunctive,conjunctive,True
72,669acab688899abf41e03bb5,14,51,"[11.681, 14.842, 14.317, 10.226, 8.64, 12.013, 16.185, 14.883, 28.759, 11.064, 16.906, 29.264, 13.384, 74.24]",276.404,276.404,401.931,"[0, 3]","[0, 3]",True,Both 1 and 4 on the platform,conjunctive,conjunctive,True
73,650a6d03acf66d20e752b42c,14,58,"[8.452, 6.007, 7.722, 4.925, 6.125, 6.272, 15.045, 7.676, 8.415, 14.512, 10.076, 14.752, 17.043, 11.214]",138.236,138.235,248.156,"[1, 3]","[1, 3]",True,Both Object 2 and Object 4 have to be on the platform together at the same time to turn on this Nexiom machine.,conjunctive,conjunctive,True
74,60b788ecd24b27bb39298936,15,54,"[18.736, 7.23, 4.696, 5.112, 13.269, 4.587, 4.549, 7.454, 3.344, 5.393, 9.578, 4.533, 5.277, 10.305, 8]",112.063,112.063,167.515,"[2, 3]","[2, 3]",True,"Objects 3 and 4 must be on the platform to turn on the machine. Objects 1 or 2 can be on or off, it is irrelevant.",conjunctive,conjunctive,True
75,6154973c69da7c97996a19f6,15,47,"[4.178, 8.183, 3.626, 3.563, 5.716, 4.09, 6.252, 9.045, 4.871, 28.077, 4.506, 29.3, 15.646, 27.746, 10.488]",165.287,165.288,348.208,"[1, 3]","[1, 3]",True,"I think that as long as 2 and 4 are both selected, the machine will turn on.",conjunctive,conjunctive,True
76,558955ebfdf99b6bd06016c9,15,59,"[5.849, 5.83, 8.222, 7.596, 20.509, 5.761, 16.701, 5.27, 9.616, 4.127, 5.799, 9.452, 3.626, 4.167, 3.308]",115.833,115.832,239.436,"[1, 3]","[1, 3]",True,The machine turns on if both object 2 and object 4 are on the platform.,conjunctive,conjunctive,True
77,67005512302c242e2c34d34d,16,65,"[6.299, 5.171, 2.859, 2.641, 6.047, 4.75, 4.355, 4.619, 3.623, 5.197, 2.902, 11.875, 5.911, 24.106, 10.543, 9.234]",110.132,110.132,242.123,"[0, 3]","[0, 3]",True,At least Object 1 and Object 4 have to be on the machine platform to turn it on. Other objects on the platform have no additional effect.,conjunctive,conjunctive,True
78,678557116f825dad357b623c,16,41,"[5.832, 7.829, 6.389, 4.944, 5.748, 7.624, 3.969, 4.347, 3.602, 9.55, 6.794, 4.201, 0.602, 0.922, 0.398, 0.289]",73.04,73.04,140.364,"[0, 3]","[0, 3]",True,The objects turn on the nexiom machine if one or more of the nexioms are selected,disjunctive,disjunctive,True
79,60a1e1f4a3707c983a98f185,16,53,"[4.688, 3.76, 3.669, 3.149, 5.879, 6.342, 5.565, 5.294, 4.766, 3.056, 2.82, 3.099, 6.389, 3.155, 3.096, 3.083]",67.81,67.811,106.08,"[1, 3]","[1, 3]",True,The machine switches on when you choose an object that's a Nexiom.,disjunctive,disjunctive,True
80,654e6dcbb060f1ea2d712339,16,62,"[25.536, 6.078, 3.895, 4.382, 50.294, 7.31, 8.386, 8.32, 10.385, 6.377, 15.151, 8.725, 6.219, 4.651, 17.473, 4.644]",187.826,187.824,404.488,"[0, 2]","[0, 2]",True,"The machine only turns on when both objects 1 and 3 are on the machine. If either one or both are not on the machine, it will not turn on.",conjunctive,conjunctive,True
81,66ac6629c0da194f918ca3fb,16,54,"[4.364, 5.135, 4.372, 4.184, 5.232, 3.16, 4.293, 8.305, 4.629, 4.931, 5.586, 7.812, 8.641, 4.107, 6.833, 14.423]",96.007,96.008,181.799,"[0, 1]","[0, 1]",True,"The machine only turns on when both Object 1 and Object 2 are placed on the platform, and all other objects are irrelevant.",conjunctive,conjunctive,True
82,62eab7b53494af2a6cb73504,16,67,"[32.376, 3.534, 3.544, 3.532, 6.172, 10.107, 6.657, 8.807, 7.713, 6.576, 8.443, 5.653, 7.243, 11.256, 7.155, 2.921]",131.689,131.688,408.775,"[1, 2]","[1, 2]",True,"I think the rule is any combination of 2 and 3 will turn the machine on.  Both 2 and 3 need to be together to make the machine work, 1 and 4 can be added but aren't necessary.",conjunctive,conjunctive,True
